Algorithm,Function,Dimension,Min,Max,Mean,Median,StdDev,MaxTemp,MinTemp,CoolingDecr,NumIterations,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.393447323,1.240603485,0.859583096,0.878362487,0.229062342,5000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,4.316119627,23.26260492,16.73710501,17.71857144,4.651617115,5000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.955715513,4.618778637,2.916111778,2.871303115,0.849095568,10000,1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.581036189,2.221755359,1.461631681,1.427400329,0.38666046,10000,1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,5.740707545,24.56255864,15.1761241,14.92315957,4.26051113,10000,1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.374643539,1.237603025,0.830474343,0.861992811,0.223407158,10000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.398775928,1.356645081,0.93906374,0.926953903,0.244776049,10000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,6.969088309,23.47772881,15.42435896,15.43657905,3.989341639,10000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.472166266,1.564464407,0.972314895,0.930331415,0.262786814,10000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.506298932,1.46121915,1.046357155,1.029025566,0.209693159,10000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,7.712706778,24.14226786,16.67984,16.56716993,3.608036396,10000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,2.651498329,13.08846794,7.01753171,7.290482728,2.450907381,5000,0.01,0.98,30,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.560968043,1.44343062,0.860188827,0.855808033,0.187477842,3666.666667,0.03,0.976666667,25,,,,,,,,,,,,,,,
Simulated Annealing,DeJong1,10,0.379462119,1.027130633,0.671543764,0.662147651,0.147173984,2944.444445,0.043333333,0.971111111,23,,,,,,,,,,,,,,,
Random Search,DeJong2,5,30.53546742,179.3617093,87.09840828,59.9957372,45.61876699,,,,,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,3.58666238,27.88167857,8.902664173,7.47303886,5.197424879,1000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,1.396451897,9.45200316,5.571750462,5.722084607,2.092388499,1000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,1.814788308,14.12931441,8.627344036,8.094992767,2.570325683,1000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.824406661,37.25135579,10.88051566,10.07525407,6.152990056,1000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.55278131,8.692005661,5.361594643,5.277559049,1.839315286,1000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,4.998970618,13.63926109,8.550385838,8.482569182,1.808453013,1000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.451604424,43.56813441,9.717793732,8.371379992,7.204858539,1000,0.1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,1.472910408,12.03548248,5.268764019,5.01691573,2.159719681,1000,0.1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,5.3118682,12.79895295,8.775338028,8.766387095,2.075050449,1000,0.1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.913296514,38.24774837,9.943086899,8.451403119,6.227895785,5000,0.1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.414556809,22.03667142,6.91765639,6.231673944,3.447648865,5000,0.1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,3.958886754,32.41275758,15.44224785,15.46000386,6.274120089,5000,0.1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.95929977,27.04745522,10.38279388,9.671480074,4.755935577,5000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,0.980025462,14.35833797,5.303498773,5.11405831,2.519666855,5000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,4.942074877,26.34763817,13.69935491,13.31909245,5.417614514,5000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,5.239917163,12.99835092,8.871711755,8.600580828,2.010273042,5000,0.05,0.95,10,,,,,,,,,,,,,,,
